layer,mode,budget_B,effect_symKL,offmanifold_norm_ratio,variant,category
27,on_manifold_null,26.511878967285156,0.20698463916778564,0.831011176109314,6,P_LP
27,full,26.511878967285156,0.5445923209190369,0.905113160610199,6,P_LP
12,direction,0.6914846897125244,0.7321277856826782,1.4899146556854248,7,P_LP
12,magnitude,0.6914846897125244,0.002316681668162346,1.6866488456726074,7,P_LP
12,on_manifold_null,0.6914846897125244,0.012386498972773552,1.3598288297653198,7,P_LP
12,full,0.6914846897125244,0.7395452260971069,1.497422456741333,7,P_LP
20,direction,1.0801165103912354,0.7200500965118408,0.9753453731536865,7,P_LP
20,magnitude,1.0801165103912354,0.0019571734592318535,1.1203532218933105,7,P_LP
20,on_manifold_null,1.0801165103912354,0.006504108663648367,0.8716228008270264,7,P_LP
20,full,1.0801165103912354,0.7112468481063843,0.9800169467926025,7,P_LP
24,direction,1.9557850360870361,0.6291075944900513,0.7176632881164551,7,P_LP
24,magnitude,1.9557850360870361,0.0009699099464341998,0.56842440366745,7,P_LP
24,on_manifold_null,1.9557850360870361,0.011463042348623276,0.62804114818573,7,P_LP
24,full,1.9557850360870361,0.6307146549224854,0.7156351208686829,7,P_LP
27,direction,20.40342903137207,0.4409915506839752,0.8831326961517334,7,P_LP
27,magnitude,20.40342903137207,0.0004574183258228004,1.4650567770004272,7,P_LP
27,on_manifold_null,20.40342903137207,0.09433306753635406,0.6855543851852417,7,P_LP
27,full,20.40342903137207,0.4352717697620392,0.9123039841651917,7,P_LP
12,direction,1.8790842294692993,1.3266795873641968,1.622585415840149,8,P_LP
12,magnitude,1.8790842294692993,0.014791655354201794,0.9909619092941284,8,P_LP
12,on_manifold_null,1.8790842294692993,0.02132640965282917,1.178876519203186,8,P_LP
12,full,1.8790842294692993,1.3027998208999634,1.6102371215820312,8,P_LP
20,direction,3.0365149974823,1.361316204071045,0.9549964666366577,8,P_LP
20,magnitude,3.0365149974823,0.01283552311360836,0.5221365094184875,8,P_LP
20,on_manifold_null,3.0365149974823,0.13576668500900269,0.7441559433937073,8,P_LP
20,full,3.0365149974823,1.3576438426971436,0.9467772245407104,8,P_LP
24,direction,6.29758358001709,1.2430710792541504,0.8245061039924622,8,P_LP
24,magnitude,6.29758358001709,0.006577781867235899,1.3227216005325317,8,P_LP
24,on_manifold_null,6.29758358001709,0.17817139625549316,0.7115192413330078,8,P_LP
24,full,6.29758358001709,1.2353328466415405,0.885530948638916,8,P_LP
27,direction,33.252628326416016,0.910179078578949,0.8868030309677124,8,P_LP
27,magnitude,33.252628326416016,0.0024715769104659557,1.730847954750061,8,P_LP
27,on_manifold_null,33.252628326416016,0.17577926814556122,0.8111926913261414,8,P_LP
27,full,33.252628326416016,0.882132351398468,1.0699995756149292,8,P_LP
12,direction,0.6847248673439026,0.2563064694404602,1.2202757596969604,9,P_LP
12,magnitude,0.6847248673439026,0.0009121916373260319,1.3806421756744385,9,P_LP
12,on_manifold_null,0.6847248673439026,0.0044845035299658775,1.0799893140792847,9,P_LP
12,full,0.6847248673439026,0.25962942838668823,1.2229228019714355,9,P_LP
20,direction,1.2414741516113281,0.2535507082939148,1.0459877252578735,9,P_LP
20,magnitude,1.2414741516113281,0.001420445740222931,0.8659464120864868,9,P_LP
20,on_manifold_null,1.2414741516113281,0.002369772642850876,0.937188982963562,9,P_LP
20,full,1.2414741516113281,0.24913787841796875,1.0453827381134033,9,P_LP
24,direction,1.999804973602295,0.14716240763664246,0.8593943119049072,9,P_LP
24,magnitude,1.999804973602295,0.00030678557232022285,0.6696600317955017,9,P_LP
24,on_manifold_null,1.999804973602295,0.0075872852467000484,0.7438785433769226,9,P_LP
24,full,1.999804973602295,0.14751410484313965,0.8577423691749573,9,P_LP
27,direction,19.070512771606445,0.07733242213726044,1.012332558631897,9,P_LP
27,magnitude,19.070512771606445,0.0024888128973543644,0.3366128206253052,9,P_LP
27,on_manifold_null,19.070512771606445,0.02204069308936596,0.817078173160553,9,P_LP
27,full,19.070512771606445,0.0781712532043457,0.9674574732780457,9,P_LP
12,direction,1.7938042879104614,0.03830243647098541,1.6273243427276611,10,P_LP
12,magnitude,1.7938042879104614,0.0007322801975533366,1.0546493530273438,10,P_LP
12,on_manifold_null,1.7938042879104614,0.003018343122676015,1.1753522157669067,10,P_LP
12,full,1.7938042879104614,0.03788207098841667,1.605833888053894,10,P_LP
20,direction,3.0400872230529785,0.048122137784957886,0.956341564655304,10,P_LP
20,magnitude,3.0400872230529785,0.002362426370382309,0.5455386638641357,10,P_LP
20,on_manifold_null,3.0400872230529785,0.0038907071575522423,0.7679538130760193,10,P_LP
20,full,3.0400872230529785,0.04773243889212608,0.9448896050453186,10,P_LP
24,direction,5.404005527496338,0.04572576284408569,0.7878822684288025,10,P_LP
24,magnitude,5.404005527496338,0.0012025603791698813,1.2023407220840454,10,P_LP
24,on_manifold_null,5.404005527496338,0.018176943063735962,0.6564275622367859,10,P_LP
24,full,5.404005527496338,0.0457138791680336,0.7933810353279114,10,P_LP
27,direction,29.284473419189453,0.02478221245110035,0.9088379144668579,10,P_LP
27,magnitude,29.284473419189453,0.0020077843219041824,0.10743919759988785,10,P_LP
27,on_manifold_null,29.284473419189453,0.03660782054066658,0.7411320805549622,10,P_LP
27,full,29.284473419189453,0.02515077218413353,0.8666102886199951,10,P_LP
12,direction,3.3174173831939697,0.38327261805534363,1.1256953477859497,11,P_LP
12,magnitude,3.3174173831939697,0.0071600694209337234,0.12759408354759216,11,P_LP
12,on_manifold_null,3.3174173831939697,0.012259243056178093,0.7433331608772278,11,P_LP
12,full,3.3174173831939697,0.3939712345600128,0.9675918817520142,11,P_LP
20,direction,6.0351386070251465,0.3785238564014435,1.035321593284607,11,P_LP
20,magnitude,6.0351386070251465,0.001374043058604002,0.23957614600658417,11,P_LP
20,on_manifold_null,6.0351386070251465,0.11986743658781052,0.8089581727981567,11,P_LP
20,full,6.0351386070251465,0.3875023424625397,0.982905924320221,11,P_LP
